[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[08:05] Machine= M02, Status=STOPPED, Temp= 28, Pressure= 55-> Machine Stopped
[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[08:15] Machine= M04, Status=RUNNING, Temp= 32, Pressure= 70-> Temperature Alarm
[08:20] Machine= M05, Status=STOPPED, Temp= 25, Pressure= 80-> Machine Stopped
[08:25] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 40-> CRITICAL Temperature Alarm
[2026-05-10 14:21:36] Machine= M3, Status=STOPPED, Temp= 33, Pressure= 88-> Machine Stopped
[2026-05-10 14:21:36] Machine= M5, Status=RUNNING, Temp= 25, Pressure= 81-> Ok
[2026-05-10 14:21:36] Machine= M1, Status=RUNNING, Temp= 20, Pressure= 90-> Ok
[2026-05-10 14:21:36] Machine= M5, Status=STOPPED, Temp= 41, Pressure= 86-> Machine Stopped
[2026-05-10 14:21:36] Machine= M3, Status=RUNNING, Temp= 21, Pressure= 88-> Ok
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 49, Pressure= 82-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 39, Pressure= 87-> Machine Stopped
[2026-05-10 14:24:55] Machine= M06, Status=STOPPED, Temp= 42, Pressure= 87-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 39, Pressure= 83-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 27, Pressure= 81-> Machine Stopped
[2026-05-10 14:24:55] Machine= M4, Status=STOPPED, Temp= 50, Pressure= 80-> Machine Stopped
[2026-05-10 14:24:55] Machine= M4, Status=RUNNING, Temp= 43, Pressure= 90-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M4, Status=STOPPED, Temp= 38, Pressure= 83-> Machine Stopped
[2026-05-10 14:24:55] Machine= M06, Status=RUNNING, Temp= 41, Pressure= 88-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M06, Status=RUNNING, Temp= 46, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M06, Status=STOPPED, Temp= 20, Pressure= 88-> Machine Stopped
[2026-05-10 14:24:55] Machine= M2, Status=STOPPED, Temp= 27, Pressure= 89-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 33, Pressure= 80-> Machine Stopped
[2026-05-10 14:24:55] Machine= M2, Status=RUNNING, Temp= 40, Pressure= 87-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M5, Status=RUNNING, Temp= 33, Pressure= 80-> Temperature Alarm
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 41, Pressure= 84-> Machine Stopped
[2026-05-10 14:24:55] Machine= M4, Status=STOPPED, Temp= 48, Pressure= 87-> Machine Stopped
[2026-05-10 14:24:55] Machine= M3, Status=RUNNING, Temp= 49, Pressure= 86-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M3, Status=STOPPED, Temp= 21, Pressure= 80-> Machine Stopped
[2026-05-10 14:24:55] Machine= M3, Status=STOPPED, Temp= 41, Pressure= 86-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=RUNNING, Temp= 48, Pressure= 81-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M2, Status=STOPPED, Temp= 30, Pressure= 87-> Machine Stopped
[2026-05-10 14:24:55] Machine= M3, Status=STOPPED, Temp= 27, Pressure= 81-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=RUNNING, Temp= 28, Pressure= 81-> Ok
[2026-05-10 14:24:55] Machine= M1, Status=STOPPED, Temp= 41, Pressure= 84-> Machine Stopped
[2026-05-10 14:24:55] Machine= M3, Status=RUNNING, Temp= 31, Pressure= 87-> Temperature Alarm
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 30, Pressure= 88-> Machine Stopped
[2026-05-10 14:24:55] Machine= M4, Status=RUNNING, Temp= 30, Pressure= 84-> Ok
[2026-05-10 14:24:55] Machine= M2, Status=STOPPED, Temp= 27, Pressure= 88-> Machine Stopped
[2026-05-10 14:24:55] Machine= M3, Status=RUNNING, Temp= 40, Pressure= 82-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M1, Status=STOPPED, Temp= 45, Pressure= 85-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 44, Pressure= 83-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 27, Pressure= 82-> Machine Stopped
[2026-05-10 14:24:55] Machine= M4, Status=RUNNING, Temp= 40, Pressure= 90-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M4, Status=STOPPED, Temp= 46, Pressure= 87-> Machine Stopped
[2026-05-10 14:24:55] Machine= M06, Status=RUNNING, Temp= 27, Pressure= 88-> Ok
[2026-05-10 14:24:55] Machine= M1, Status=STOPPED, Temp= 32, Pressure= 85-> Machine Stopped
[2026-05-10 14:24:55] Machine= M3, Status=RUNNING, Temp= 32, Pressure= 88-> Temperature Alarm
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 24, Pressure= 89-> Machine Stopped
[2026-05-10 14:24:55] Machine= M2, Status=STOPPED, Temp= 22, Pressure= 89-> Machine Stopped
[2026-05-10 14:24:55] Machine= M06, Status=STOPPED, Temp= 42, Pressure= 90-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=RUNNING, Temp= 33, Pressure= 84-> Temperature Alarm
[2026-05-10 14:24:55] Machine= M06, Status=RUNNING, Temp= 23, Pressure= 82-> Ok
[2026-05-10 14:24:55] Machine= M5, Status=RUNNING, Temp= 43, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-10 14:24:55] Machine= M06, Status=STOPPED, Temp= 32, Pressure= 83-> Machine Stopped
[2026-05-10 14:24:55] Machine= M4, Status=STOPPED, Temp= 40, Pressure= 87-> Machine Stopped
[2026-05-10 14:24:55] Machine= M06, Status=STOPPED, Temp= 41, Pressure= 81-> Machine Stopped
[2026-05-10 14:24:55] Machine= M5, Status=STOPPED, Temp= 49, Pressure= 82-> Machine Stopped
[2026-05-10 14:24:55] Machine= M4, Status=RUNNING, Temp= 24, Pressure= 90-> Ok
[2026-05-10 14:24:55] Machine= M06, Status=RUNNING, Temp= 42, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-10 14:27:05] Machine= M01, Status=RUNNING, Temp= 50, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-10 14:27:05] Machine= M02, Status=RUNNING, Temp= 49, Pressure= 85-> CRITICAL Temperature Alarm
[2026-05-10 14:27:05] Machine= M06, Status=RUNNING, Temp= 22, Pressure= 90-> Ok
[2026-05-10 14:27:05] Machine= M03, Status=RUNNING, Temp= 48, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-10 14:27:05] Machine= M05, Status=RUNNING, Temp= 35, Pressure= 90-> Temperature Alarm
[2026-05-10 14:27:05] Machine= M01, Status=STOPPED, Temp= 36, Pressure= 85-> Machine Stopped
[2026-05-10 14:27:05] Machine= M06, Status=RUNNING, Temp= 24, Pressure= 89-> Ok
[2026-05-10 14:27:05] Machine= M04, Status=STOPPED, Temp= 50, Pressure= 82-> Machine Stopped
[2026-05-10 14:27:05] Machine= M05, Status=STOPPED, Temp= 46, Pressure= 90-> Machine Stopped
[2026-05-10 14:27:05] Machine= M05, Status=RUNNING, Temp= 36, Pressure= 90-> Temperature Alarm
[2026-05-10 14:27:05] Machine= M05, Status=STOPPED, Temp= 29, Pressure= 87-> Machine Stopped
[2026-05-10 14:27:05] Machine= M02, Status=STOPPED, Temp= 34, Pressure= 83-> Machine Stopped
[2026-05-10 14:27:05] Machine= M06, Status=RUNNING, Temp= 32, Pressure= 83-> Temperature Alarm
[2026-05-10 14:27:05] Machine= M02, Status=RUNNING, Temp= 44, Pressure= 80-> CRITICAL Temperature Alarm
[2026-05-10 14:27:05] Machine= M04, Status=STOPPED, Temp= 28, Pressure= 81-> Machine Stopped
[2026-05-10 14:27:05] Machine= M03, Status=STOPPED, Temp= 42, Pressure= 85-> Machine Stopped
[2026-05-10 14:27:05] Machine= M03, Status=STOPPED, Temp= 50, Pressure= 83-> Machine Stopped
[2026-05-10 14:27:05] Machine= M03, Status=RUNNING, Temp= 50, Pressure= 90-> CRITICAL Temperature Alarm
[2026-05-10 14:27:05] Machine= M03, Status=STOPPED, Temp= 41, Pressure= 82-> Machine Stopped
[2026-05-10 14:27:05] Machine= M04, Status=RUNNING, Temp= 27, Pressure= 82-> Ok
[2026-05-14 21:32:35] Machine= M03, Status=STOPPED, Temp= 33, Pressure= 87-> Machine Stopped
[2026-05-14 21:32:35] Machine= M03, Status=STOPPED, Temp= 24, Pressure= 46-> Machine Stopped
[2026-05-14 21:32:35] Machine= M04, Status=RUNNING, Temp= 39, Pressure= 57-> Temperature Alarm
[2026-05-14 21:32:35] Machine= M03, Status=STOPPED, Temp= 24, Pressure= 85-> Machine Stopped
[2026-05-14 21:32:35] Machine= M05, Status=RUNNING, Temp= 27, Pressure= 73-> Ok
[2026-05-14 21:32:35] Machine= M06, Status=RUNNING, Temp= 42, Pressure= 51-> CRITICAL Temperature Alarm
[2026-05-14 21:32:35] Machine= M03, Status=RUNNING, Temp= 23, Pressure= 72-> Ok
[2026-05-14 21:32:35] Machine= M03, Status=RUNNING, Temp= 36, Pressure= 71-> Temperature Alarm
[2026-05-14 21:32:35] Machine= M03, Status=STOPPED, Temp= 30, Pressure= 49-> Machine Stopped
[2026-05-14 21:32:35] Machine= M02, Status=RUNNING, Temp= 39, Pressure= 42-> Temperature Alarm
[2026-05-14 21:32:35] Machine= M01, Status=RUNNING, Temp= 28, Pressure= 41-> Low Pressure
[2026-05-14 21:32:35] Machine= M01, Status=RUNNING, Temp= 49, Pressure= 42-> CRITICAL Temperature Alarm
[2026-05-14 21:32:35] Machine= M02, Status=STOPPED, Temp= 41, Pressure= 66-> Machine Stopped
[2026-05-14 21:32:35] Machine= M06, Status=RUNNING, Temp= 28, Pressure= 61-> Ok
[2026-05-14 21:32:35] Machine= M02, Status=RUNNING, Temp= 24, Pressure= 79-> Ok
[2026-05-14 21:32:35] Machine= M01, Status=STOPPED, Temp= 33, Pressure= 65-> Machine Stopped
[2026-05-14 21:32:35] Machine= M02, Status=STOPPED, Temp= 41, Pressure= 45-> Machine Stopped
[2026-05-14 21:32:35] Machine= M02, Status=RUNNING, Temp= 41, Pressure= 66-> CRITICAL Temperature Alarm
[2026-05-14 21:32:35] Machine= M06, Status=RUNNING, Temp= 29, Pressure= 73-> Ok
[2026-05-14 21:32:35] Machine= M01, Status=RUNNING, Temp= 31, Pressure= 53-> Temperature Alarm
[2026-05-14 21:34:54] Machine= M04, Status=STOPPED, Temp= 21, Pressure= 55-> Machine Stopped
[2026-05-14 21:34:54] Machine= M04, Status=STOPPED, Temp= 29, Pressure= 60-> Machine Stopped
[2026-05-14 21:34:54] Machine= M06, Status=STOPPED, Temp= 36, Pressure= 71-> Machine Stopped
[2026-05-14 21:34:54] Machine= M06, Status=RUNNING, Temp= 47, Pressure= 68-> CRITICAL Temperature Alarm
[2026-05-14 21:34:54] Machine= M04, Status=RUNNING, Temp= 33, Pressure= 64-> Temperature Alarm
[2026-05-14 21:34:54] Machine= M05, Status=RUNNING, Temp= 47, Pressure= 59-> CRITICAL Temperature Alarm
[2026-05-14 21:34:54] Machine= M02, Status=RUNNING, Temp= 40, Pressure= 53-> CRITICAL Temperature Alarm
[2026-05-14 21:34:54] Machine= M01, Status=STOPPED, Temp= 49, Pressure= 47-> Machine Stopped
[2026-05-14 21:34:54] Machine= M06, Status=RUNNING, Temp= 42, Pressure= 77-> CRITICAL Temperature Alarm
[2026-05-14 21:34:54] Machine= M05, Status=RUNNING, Temp= 48, Pressure= 87-> CRITICAL Temperature Alarm
[2026-05-14 21:34:54] Machine= M05, Status=RUNNING, Temp= 43, Pressure= 50-> CRITICAL Temperature Alarm
[2026-05-14 21:34:54] Machine= M04, Status=RUNNING, Temp= 20, Pressure= 70-> Ok
[2026-05-14 21:34:54] Machine= M05, Status=STOPPED, Temp= 38, Pressure= 50-> Machine Stopped
[2026-05-14 21:34:54] Machine= M03, Status=STOPPED, Temp= 30, Pressure= 49-> Machine Stopped
[2026-05-14 21:34:54] Machine= M06, Status=STOPPED, Temp= 26, Pressure= 75-> Machine Stopped
[2026-05-14 21:34:54] Machine= M04, Status=RUNNING, Temp= 37, Pressure= 80-> Temperature Alarm
[2026-05-14 21:34:54] Machine= M04, Status=RUNNING, Temp= 45, Pressure= 78-> CRITICAL Temperature Alarm
[2026-05-14 21:34:54] Machine= M03, Status=STOPPED, Temp= 44, Pressure= 48-> Machine Stopped
[2026-05-14 21:34:54] Machine= M05, Status=STOPPED, Temp= 24, Pressure= 44-> Machine Stopped
[2026-05-14 21:34:54] Machine= M06, Status=RUNNING, Temp= 22, Pressure= 78-> Ok
[2026-05-14 21:39:22] Machine= M01, Status=STOPPED, Temp= 20, Pressure= 68-> Machine Stopped
[2026-05-14 21:39:22] Machine= M02, Status=STOPPED, Temp= 36, Pressure= 66-> Machine Stopped
[2026-05-14 21:39:22] Machine= M02, Status=STOPPED, Temp= 22, Pressure= 52-> Machine Stopped
[2026-05-14 21:39:22] Machine= M05, Status=STOPPED, Temp= 21, Pressure= 72-> Machine Stopped
[2026-05-14 21:39:22] Machine= M05, Status=RUNNING, Temp= 50, Pressure= 43-> CRITICAL Temperature Alarm
[2026-05-14 21:39:22] Machine= M01, Status=RUNNING, Temp= 45, Pressure= 83-> CRITICAL Temperature Alarm
[2026-05-14 21:39:22] Machine= M03, Status=RUNNING, Temp= 34, Pressure= 90-> Temperature Alarm
[2026-05-14 21:39:22] Machine= M04, Status=RUNNING, Temp= 50, Pressure= 86-> CRITICAL Temperature Alarm
[2026-05-14 21:39:22] Machine= M05, Status=STOPPED, Temp= 50, Pressure= 84-> Machine Stopped
[2026-05-14 21:39:22] Machine= M04, Status=STOPPED, Temp= 45, Pressure= 47-> Machine Stopped
[2026-05-14 21:39:22] Machine= M02, Status=STOPPED, Temp= 47, Pressure= 40-> Machine Stopped
[2026-05-14 21:39:22] Machine= M04, Status=STOPPED, Temp= 45, Pressure= 63-> Machine Stopped
[2026-05-14 21:39:22] Machine= M04, Status=STOPPED, Temp= 35, Pressure= 85-> Machine Stopped
[2026-05-14 21:39:22] Machine= M03, Status=STOPPED, Temp= 34, Pressure= 50-> Machine Stopped
[2026-05-14 21:39:22] Machine= M05, Status=STOPPED, Temp= 33, Pressure= 48-> Machine Stopped
[2026-05-14 21:39:22] Machine= M01, Status=STOPPED, Temp= 42, Pressure= 55-> Machine Stopped
[2026-05-14 21:39:22] Machine= M04, Status=STOPPED, Temp= 48, Pressure= 56-> Machine Stopped
[2026-05-14 21:39:22] Machine= M04, Status=RUNNING, Temp= 40, Pressure= 50-> CRITICAL Temperature Alarm
[2026-05-14 21:39:22] Machine= M06, Status=STOPPED, Temp= 37, Pressure= 54-> Machine Stopped
[2026-05-14 21:39:22] Machine= M03, Status=RUNNING, Temp= 34, Pressure= 80-> Temperature Alarm
[2026-05-14 21:40:36] Machine= M01, Status=RUNNING, Temp= 40, Pressure= 74-> CRITICAL Temperature Alarm
[2026-05-14 21:40:36] Machine= M01, Status=STOPPED, Temp= 39, Pressure= 50-> Machine Stopped
[2026-05-14 21:40:36] Machine= M03, Status=STOPPED, Temp= 36, Pressure= 88-> Machine Stopped
[2026-05-14 21:40:36] Machine= M06, Status=STOPPED, Temp= 27, Pressure= 41-> Machine Stopped
[2026-05-14 21:40:36] Machine= M04, Status=STOPPED, Temp= 44, Pressure= 57-> Machine Stopped
[2026-05-14 21:40:36] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 81-> Temperature Alarm
[2026-05-14 21:40:36] Machine= M01, Status=STOPPED, Temp= 50, Pressure= 51-> Machine Stopped
[2026-05-14 21:40:36] Machine= M06, Status=RUNNING, Temp= 20, Pressure= 68-> Ok
[2026-05-14 21:40:36] Machine= M01, Status=RUNNING, Temp= 36, Pressure= 86-> Temperature Alarm
[2026-05-14 21:40:36] Machine= M02, Status=STOPPED, Temp= 27, Pressure= 62-> Machine Stopped
[2026-05-14 21:40:36] Machine= M03, Status=STOPPED, Temp= 40, Pressure= 69-> Machine Stopped
[2026-05-14 21:40:36] Machine= M05, Status=RUNNING, Temp= 38, Pressure= 58-> Temperature Alarm
[2026-05-14 21:40:36] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 77-> Temperature Alarm
[2026-05-14 21:40:36] Machine= M05, Status=STOPPED, Temp= 38, Pressure= 88-> Machine Stopped
[2026-05-14 21:40:36] Machine= M04, Status=RUNNING, Temp= 41, Pressure= 89-> CRITICAL Temperature Alarm
[2026-05-14 21:40:36] Machine= M06, Status=RUNNING, Temp= 39, Pressure= 85-> Temperature Alarm
[2026-05-14 21:40:36] Machine= M05, Status=RUNNING, Temp= 26, Pressure= 78-> Ok
[2026-05-14 21:40:36] Machine= M03, Status=RUNNING, Temp= 49, Pressure= 65-> CRITICAL Temperature Alarm
[2026-05-14 21:40:36] Machine= M02, Status=RUNNING, Temp= 46, Pressure= 78-> CRITICAL Temperature Alarm
[2026-05-14 21:40:36] Machine= M04, Status=RUNNING, Temp= 26, Pressure= 65-> Ok
[2026-05-19 22:48:11] Machine= M04, Status=STOPPED, Temp= 39, Pressure= 70-> Machine Stopped
[2026-05-19 22:48:11] Machine= M04, Status=RUNNING, Temp= 45, Pressure= 89-> CRITICAL Temperature Alarm
[2026-05-19 22:48:11] Machine= M05, Status=STOPPED, Temp= 22, Pressure= 44-> Machine Stopped
[2026-05-19 22:48:11] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 41-> Temperature Alarm
[2026-05-19 22:48:11] Machine= M01, Status=RUNNING, Temp= 36, Pressure= 76-> Temperature Alarm
[2026-05-19 22:48:11] Machine= M06, Status=RUNNING, Temp= 49, Pressure= 65-> CRITICAL Temperature Alarm
[2026-05-19 22:48:11] Machine= M04, Status=STOPPED, Temp= 37, Pressure= 79-> Machine Stopped
[2026-05-19 22:48:11] Machine= M05, Status=RUNNING, Temp= 37, Pressure= 78-> Temperature Alarm
[2026-05-19 22:48:11] Machine= M06, Status=RUNNING, Temp= 40, Pressure= 44-> CRITICAL Temperature Alarm
[2026-05-19 22:48:11] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 67-> Temperature Alarm
[2026-05-19 22:48:11] Machine= M06, Status=RUNNING, Temp= 23, Pressure= 66-> Ok
[2026-05-19 22:48:11] Machine= M06, Status=STOPPED, Temp= 40, Pressure= 70-> Machine Stopped
[2026-05-19 22:48:11] Machine= M04, Status=RUNNING, Temp= 35, Pressure= 74-> Temperature Alarm
[2026-05-19 22:48:11] Machine= M02, Status=STOPPED, Temp= 29, Pressure= 50-> Machine Stopped
[2026-05-19 22:48:11] Machine= M04, Status=STOPPED, Temp= 25, Pressure= 59-> Machine Stopped
[2026-05-19 22:48:11] Machine= M02, Status=STOPPED, Temp= 29, Pressure= 73-> Machine Stopped
[2026-05-19 22:48:11] Machine= M05, Status=RUNNING, Temp= 29, Pressure= 59-> Ok
[2026-05-19 22:48:11] Machine= M01, Status=STOPPED, Temp= 38, Pressure= 42-> Machine Stopped
[2026-05-19 22:48:11] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 42-> CRITICAL Temperature Alarm
[2026-05-19 22:48:11] Machine= M05, Status=STOPPED, Temp= 23, Pressure= 60-> Machine Stopped
[2026-05-19 22:55:40] Machine= M05, Status=RUNNING, Temp= 37, Pressure= 46-> Temperature Alarm
[2026-05-19 22:55:40] Machine= M02, Status=STOPPED, Temp= 35, Pressure= 80-> Machine Stopped
[2026-05-19 22:55:40] Machine= M03, Status=STOPPED, Temp= 37, Pressure= 84-> Machine Stopped
[2026-05-19 22:55:40] Machine= M05, Status=RUNNING, Temp= 26, Pressure= 61-> Ok
[2026-05-19 22:55:40] Machine= M05, Status=RUNNING, Temp= 46, Pressure= 45-> CRITICAL Temperature Alarm
[2026-05-19 22:55:40] Machine= M02, Status=STOPPED, Temp= 25, Pressure= 43-> Machine Stopped
[2026-05-19 22:55:40] Machine= M01, Status=RUNNING, Temp= 25, Pressure= 42-> Low Pressure
[2026-05-19 22:55:40] Machine= M05, Status=RUNNING, Temp= 43, Pressure= 63-> CRITICAL Temperature Alarm
[2026-05-19 22:55:40] Machine= M02, Status=RUNNING, Temp= 34, Pressure= 88-> Temperature Alarm
[2026-05-19 22:55:40] Machine= M05, Status=RUNNING, Temp= 24, Pressure= 74-> Ok
[2026-05-19 22:55:40] Machine= M05, Status=RUNNING, Temp= 26, Pressure= 88-> Ok
[2026-05-19 22:55:40] Machine= M02, Status=STOPPED, Temp= 45, Pressure= 84-> Machine Stopped
[2026-05-19 22:55:40] Machine= M01, Status=STOPPED, Temp= 31, Pressure= 80-> Machine Stopped
[2026-05-19 22:55:40] Machine= M02, Status=RUNNING, Temp= 22, Pressure= 71-> Ok
[2026-05-19 22:55:40] Machine= M04, Status=STOPPED, Temp= 48, Pressure= 59-> Machine Stopped
[2026-05-19 22:55:40] Machine= M02, Status=STOPPED, Temp= 24, Pressure= 90-> Machine Stopped
[2026-05-19 22:55:40] Machine= M05, Status=STOPPED, Temp= 31, Pressure= 55-> Machine Stopped
[2026-05-19 22:55:40] Machine= M01, Status=STOPPED, Temp= 28, Pressure= 62-> Machine Stopped
[2026-05-19 22:55:40] Machine= M03, Status=STOPPED, Temp= 37, Pressure= 55-> Machine Stopped
[2026-05-19 22:55:40] Machine= M01, Status=RUNNING, Temp= 45, Pressure= 47-> CRITICAL Temperature Alarm
[2026-05-19 22:59:27] Machine= M02, Status=RUNNING, Temp= 29, Pressure= 43-> Low Pressure
[2026-05-19 22:59:27] Machine= M06, Status=RUNNING, Temp= 46, Pressure= 82-> CRITICAL Temperature Alarm
[2026-05-19 22:59:27] Machine= M03, Status=RUNNING, Temp= 29, Pressure= 85-> Ok
[2026-05-19 22:59:27] Machine= M03, Status=RUNNING, Temp= 46, Pressure= 70-> CRITICAL Temperature Alarm
[2026-05-19 22:59:27] Machine= M04, Status=RUNNING, Temp= 24, Pressure= 66-> Ok
[2026-05-19 22:59:27] Machine= M06, Status=RUNNING, Temp= 42, Pressure= 79-> CRITICAL Temperature Alarm
[2026-05-19 22:59:27] Machine= M06, Status=RUNNING, Temp= 28, Pressure= 63-> Ok
[2026-05-19 22:59:27] Machine= M04, Status=STOPPED, Temp= 37, Pressure= 69-> Machine Stopped
[2026-05-19 22:59:27] Machine= M06, Status=RUNNING, Temp= 48, Pressure= 65-> CRITICAL Temperature Alarm
[2026-05-19 22:59:27] Machine= M04, Status=STOPPED, Temp= 25, Pressure= 79-> Machine Stopped
[2026-05-19 22:59:27] Machine= M04, Status=STOPPED, Temp= 27, Pressure= 75-> Machine Stopped
[2026-05-19 22:59:27] Machine= M04, Status=RUNNING, Temp= 23, Pressure= 58-> Ok
[2026-05-19 22:59:27] Machine= M01, Status=RUNNING, Temp= 36, Pressure= 63-> Temperature Alarm
[2026-05-19 22:59:27] Machine= M03, Status=STOPPED, Temp= 50, Pressure= 84-> Machine Stopped
[2026-05-19 22:59:27] Machine= M03, Status=STOPPED, Temp= 30, Pressure= 88-> Machine Stopped
[2026-05-19 22:59:27] Machine= M02, Status=STOPPED, Temp= 43, Pressure= 77-> Machine Stopped
[2026-05-19 22:59:27] Machine= M04, Status=STOPPED, Temp= 41, Pressure= 58-> Machine Stopped
